x @  cent_trace_len @  decent_trace_len @  odecent_trace_len @  cent_num_mess @  decent_num_mess @  odecent_num_mess @  cent_size_mess @  decent_size_mess @  odecent_size_mess @  cent_nb_progressions @  decent_nb_progressions @  odecent_nb_progressions @  formula @  trace
2 @ 6 @ 7 @ 7 @ 15 @ 4 @ 8 @ 1. @ 3.77 @ 2.66 @ 30 @ 101 @ 60 @ And (Or (Neg (Until (Var "c", Var "a")), Ev (Var "b")), Or (Glob (Neg (Var "b")), Until (Var "c", Var "a"))) @ {a| |c} ; {a| | } ; {a| | } ; { | |c} ; { | |c} ; { |b|c} ; {a| |c} ; { | |c} ; { |b| } ; {a| |c} ; {a| | } ; { | |c} ; { |b| } ; {a| |c} ; {a|b| } ; {a| | } ; {a|b| } ; {a|b|c} ; {a| | } ; {a|b| } ; { | | } ; { |b| } ; {a|b|c} ; { |b|c} ; {a|b| } ; { |b| } ; { |b|c} ; { | | } ; {a| | } ; { |b| } ; { | | } ; { |b| } ; { |b| } ; {a| |c} ; {a|b| } ; { | | } ; {a| |c} ; {a|b| } ; { |b| } ; { |b| } ; { | |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| | } ; {a| |c} ; { | |c} ; {a|b| } ; { | | } ; {a| | } ; {a| | } ; {a|b| } ; {a|b|c} ; {a| |c} ; { |b|c} ; { |b|c} ; { | |c} ; { | | } ; { | | } ; { |b|c} ; {a|b|c} ; { |b|c} ; { |b| } ; {a| | } ; {a|b|c} ; {a|b| } ; {a| | } ; {a| |c} ; { | | } ; {a| | } ; {a|b|c} ; {a|b|c} ; { |b|c} ; { |b| } ; { |b| } ; {a| |c} ; {a| |c} ; { | |c} ; { | | } ; {a|b|c} ; {a| | } ; { | | } ; { |b| } ; { |b|c} ; {a| |c} ; {a| | } ; { |b| } ; { |b| } ; {a|b| } ; {a| |c} ; {a|b| } ; { |b| } ; {a|b|c} ; {a| |c} ; { |b| } ; { | | } ; { |b| } ; { |b|c} ; { | |c} ; { | |c} ; { | | }
2 @ 6 @ 7 @ 6 @ 15 @ 2 @ 0 @ 1. @ 0.77 @ 0. @ 18 @ 25 @ 18 @ Ev (Neg (Var "c")) @ {a|b|c} ; { | |c} ; {a| |c} ; {a|b|c} ; { | |c} ; { | | } ; {a|b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b|c} ; {a| |c} ; { |b|c} ; {a| | } ; {a| | } ; {a| | } ; { |b|c} ; { |b|c} ; {a|b|c} ; { | | } ; {a| |c} ; { |b|c} ; {a| |c} ; {a| | } ; { | |c} ; { |b|c} ; { | | } ; { | |c} ; {a| |c} ; {a| |c} ; { |b| } ; {a|b| } ; { | |c} ; { | |c} ; { | | } ; { |b|c} ; { |b| } ; {a|b| } ; {a|b|c} ; { |b|c} ; { | | } ; {a| | } ; { | |c} ; { |b|c} ; { | | } ; { |b|c} ; { | |c} ; {a| |c} ; { |b| } ; { | |c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; { |b|c} ; {a|b| } ; { | |c} ; { |b| } ; { |b| } ; { |b| } ; { | | } ; {a| |c} ; { | | } ; {a| |c} ; { |b| } ; {a| |c} ; { |b|c} ; {a| | } ; {a|b|c} ; { | | } ; { | |c} ; {a|b|c} ; {a| | } ; { | |c} ; {a|b| } ; {a|b|c} ; { |b|c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| | } ; { |b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; {a|b|c} ; {a| | } ; { |b| } ; { | | } ; {a|b|c} ; {a| |c} ; { | | } ; { | |c} ; { | | } ; { |b| } ; {a| |c} ; {a| | } ; {a| |c} ; { | |c}
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.93 @ 0. @ 15 @ 25 @ 15 @ Glob (Neg (Var "b")) @ {a| | } ; { | | } ; {a| | } ; {a| |c} ; { |b| } ; {a|b|c} ; {a| |c} ; { | |c} ; { | | } ; { |b| } ; { |b| } ; { |b|c} ; { |b| } ; {a|b|c} ; { |b| } ; { |b| } ; {a|b|c} ; {a|b| } ; {a| | } ; {a|b|c} ; {a|b|c} ; { | | } ; {a| |c} ; {a|b|c} ; {a| |c} ; { |b| } ; {a|b| } ; { | | } ; {a| | } ; { |b|c} ; {a|b| } ; { |b|c} ; { |b| } ; { |b| } ; { |b|c} ; { | | } ; { |b|c} ; { | | } ; {a| |c} ; {a|b| } ; { | | } ; {a| | } ; { | | } ; {a| |c} ; { |b| } ; {a| | } ; {a| |c} ; { |b|c} ; {a| | } ; {a|b| } ; { | | } ; { |b|c} ; { | | } ; {a|b| } ; {a| | } ; { | |c} ; { | | } ; { |b| } ; {a| | } ; {a|b|c} ; {a|b|c} ; {a| | } ; {a|b|c} ; { | |c} ; {a| | } ; {a| |c} ; { | |c} ; { |b| } ; { |b|c} ; {a| | } ; { |b|c} ; { |b|c} ; {a| | } ; { |b|c} ; {a|b|c} ; { | |c} ; {a|b| } ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| | } ; { | | } ; {a|b|c} ; {a| |c} ; { | |c} ; { |b|c} ; {a| | } ; { |b| } ; { |b|c} ; { |b| } ; {a| | } ; {a|b|c} ; { | | } ; {a| |c} ; { | | } ; {a|b| } ; {a|b|c} ; { |b| } ; { |b|c} ; {a| |c}
2 @ 14 @ 16 @ 15 @ 39 @ 17 @ 14 @ 1. @ 3.97 @ 2.54 @ 70 @ 277 @ 86 @ Glob (Until (Var "b", Var "a")) @ { |b|c} ; {a| |c} ; { |b| } ; { |b|c} ; {a| |c} ; { |b|c} ; { |b|c} ; { |b| } ; { |b| } ; {a|b| } ; {a|b|c} ; { |b|c} ; {a|b|c} ; { | | } ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a|b| } ; { | | } ; { | | } ; { |b|c} ; {a| |c} ; { |b| } ; { |b| } ; {a|b| } ; { | |c} ; { | | } ; { | | } ; {a|b| } ; {a|b| } ; { | | } ; {a| |c} ; {a| | } ; {a| |c} ; {a|b|c} ; {a| | } ; {a|b|c} ; { |b|c} ; { |b|c} ; { |b|c} ; {a|b|c} ; { |b|c} ; {a| | } ; { | |c} ; {a| |c} ; {a| | } ; {a|b|c} ; { |b|c} ; { | |c} ; { | |c} ; { |b| } ; { |b|c} ; { |b| } ; { |b|c} ; {a| | } ; { |b| } ; {a| |c} ; { |b|c} ; { |b|c} ; { | |c} ; { | | } ; {a| | } ; {a| | } ; { |b| } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| | } ; {a| | } ; { | | } ; { |b|c} ; { | | } ; { |b|c} ; { | | } ; { | |c} ; { |b| } ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| | } ; { |b|c} ; { |b|c} ; {a|b| } ; {a| |c} ; { | |c} ; {a|b| } ; { | | } ; { | |c} ; { |b| } ; { |b|c} ; {a|b|c} ; { | |c} ; { |b| } ; { |b|c} ; { | | } ; {a|b|c} ; { |b|c} ; { | |c} ; { | | } ; {a|b| } ; {a| | }
2 @ 7 @ 8 @ 7 @ 18 @ 2 @ 0 @ 1. @ 0.47 @ 0. @ 14 @ 28 @ 14 @ Glob (Var "c") @ {a| |c} ; {a| |c} ; { | |c} ; { | |c} ; {a| |c} ; { |b|c} ; {a| | } ; {a| |c} ; {a|b|c} ; {a| | } ; {a|b| } ; {a| | } ; {a|b| } ; {a| | } ; {a|b|c} ; { |b| } ; {a| | } ; { | |c} ; { | |c} ; {a|b| } ; {a| |c} ; { | |c} ; {a| | } ; {a| | } ; {a| |c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; { |b|c} ; {a| | } ; {a|b|c} ; {a|b| } ; {a| | } ; { | |c} ; {a| | } ; {a|b| } ; { |b|c} ; { |b| } ; { | |c} ; {a|b| } ; {a|b| } ; {a| | } ; {a| |c} ; {a| |c} ; { |b|c} ; {a| | } ; { | | } ; {a| | } ; { | |c} ; {a| | } ; { |b| } ; { | | } ; {a|b| } ; {a|b| } ; { | | } ; { |b| } ; {a| | } ; {a| |c} ; {a| | } ; { | | } ; { | |c} ; { |b|c} ; { |b|c} ; { | |c} ; { |b|c} ; { |b|c} ; { |b|c} ; { | | } ; { | |c} ; { | |c} ; {a| | } ; {a|b| } ; {a| | } ; {a|b| } ; {a|b|c} ; { | |c} ; { |b| } ; { | | } ; { |b|c} ; { |b|c} ; { |b| } ; { |b| } ; { | |c} ; { | |c} ; {a|b| } ; {a| |c} ; {a| | } ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| | } ; {a| |c} ; {a| | } ; { | | } ; { |b|c} ; {a| |c} ; {a|b| } ; { | | } ; {a| | } ; { |b| } ; {a| |c}
2 @ 6 @ 7 @ 6 @ 15 @ 2 @ 0 @ 1. @ 1.66 @ 0. @ 32 @ 57 @ 32 @ Until (Neg (Var "b"), Glob (Var "b")) @ {a| | } ; { | | } ; {a| |c} ; { | | } ; { |b|c} ; { | |c} ; { | | } ; { | | } ; { | |c} ; { |b| } ; {a|b| } ; { |b|c} ; {a|b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; { |b|c} ; {a|b|c} ; { |b| } ; { | |c} ; { | | } ; { | | } ; {a|b|c} ; { | |c} ; { | |c} ; {a| |c} ; { |b|c} ; { | |c} ; { |b|c} ; { | | } ; { | | } ; {a| |c} ; {a| | } ; {a|b| } ; {a|b|c} ; {a| |c} ; { | |c} ; {a| |c} ; {a|b|c} ; {a| | } ; {a| |c} ; { | |c} ; {a| | } ; {a|b|c} ; {a| | } ; {a|b| } ; {a| |c} ; { | |c} ; {a| |c} ; { | |c} ; {a|b| } ; {a|b|c} ; {a|b| } ; { |b| } ; {a| | } ; { |b| } ; { |b|c} ; { | |c} ; {a|b|c} ; {a| | } ; { | |c} ; { | |c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { |b|c} ; {a| |c} ; {a| |c} ; {a| |c} ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b|c} ; { |b| } ; { |b|c} ; { | | } ; { |b|c} ; { |b|c} ; { |b| } ; { |b|c} ; { | |c} ; { | | } ; { | | } ; {a|b|c} ; {a| | } ; {a|b|c} ; {a|b| } ; {a| |c} ; {a|b| } ; {a|b| } ; { | |c} ; {a|b| } ; { | | } ; {a|b|c} ; {a|b| } ; { |b|c} ; { |b|c}
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 11 @ 18 @ 11 @ Next (Ev (Var "b")) @ { |b|c} ; { | |c} ; { | | } ; {a| | } ; { |b| } ; {a|b|c} ; { |b|c} ; { | |c} ; {a|b|c} ; { |b| } ; { | |c} ; { | | } ; { |b| } ; { | | } ; { | |c} ; {a| | } ; {a|b| } ; { | |c} ; {a| | } ; {a|b| } ; { | | } ; {a| | } ; {a| |c} ; { | |c} ; {a| | } ; { | |c} ; {a|b|c} ; {a|b|c} ; {a|b|c} ; { | |c} ; { | | } ; { | |c} ; { |b|c} ; { |b| } ; { | |c} ; { | |c} ; {a| |c} ; {a| | } ; { | | } ; { |b|c} ; { |b| } ; {a| | } ; { |b| } ; { |b| } ; { |b|c} ; {a| |c} ; { |b| } ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a| | } ; {a|b| } ; {a| | } ; {a| | } ; {a|b|c} ; { |b|c} ; {a| |c} ; {a|b| } ; { |b|c} ; { |b| } ; {a| |c} ; { |b| } ; { |b|c} ; {a|b|c} ; {a|b| } ; { | | } ; { |b| } ; { |b| } ; {a| | } ; {a| |c} ; { |b|c} ; { |b| } ; {a| | } ; {a|b| } ; { |b|c} ; { |b| } ; {a|b|c} ; { | |c} ; {a|b| } ; { |b| } ; {a|b|c} ; {a| |c} ; { |b| } ; { |b|c} ; {a| |c} ; {a| | } ; {a|b| } ; { |b| } ; { |b|c} ; { | | } ; { |b|c} ; { |b|c} ; { | | } ; {a| | } ; { |b|c} ; { | |c} ; { |b|c} ; {a| |c} ; { | |c} ; { | | } ; {a| | }
2 @ 6 @ 7 @ 7 @ 15 @ 11 @ 6 @ 1. @ 6.44 @ 2.11 @ 30 @ 143 @ 38 @ Ev (Until (Var "a", Var "b")) @ { | | } ; {a| |c} ; {a| | } ; {a| |c} ; { | | } ; { |b| } ; {a|b|c} ; { |b| } ; {a|b|c} ; { |b|c} ; {a| | } ; { | | } ; { | |c} ; { |b|c} ; { |b|c} ; {a| | } ; { | |c} ; { | | } ; {a|b|c} ; { |b|c} ; {a|b|c} ; {a|b| } ; {a| |c} ; {a| |c} ; {a| |c} ; { |b| } ; { |b|c} ; { | | } ; { |b| } ; { |b|c} ; {a|b|c} ; {a| | } ; {a|b| } ; {a| |c} ; {a|b| } ; { | | } ; {a| |c} ; {a| |c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| | } ; { |b| } ; {a| |c} ; {a|b|c} ; { |b|c} ; { | | } ; { |b| } ; {a| | } ; { |b| } ; {a| | } ; { |b| } ; {a| |c} ; {a| | } ; {a| |c} ; { |b| } ; { | | } ; {a| | } ; { |b|c} ; { | | } ; {a| | } ; { | |c} ; { |b|c} ; { |b|c} ; {a| | } ; {a| | } ; { |b|c} ; { | |c} ; {a|b| } ; { |b|c} ; { | |c} ; {a| |c} ; { |b|c} ; {a|b|c} ; { |b| } ; {a|b| } ; { | |c} ; {a| | } ; {a| | } ; { | |c} ; { | |c} ; {a|b|c} ; {a|b| } ; { | |c} ; {a|b| } ; {a|b| } ; { | |c} ; {a| | } ; {a| |c} ; {a| |c} ; { | | } ; { | | } ; {a|b| } ; { |b| } ; {a|b|c} ; {a| | } ; {a| | } ; { | | } ; {a|b|c} ; { | | } ; { | | }
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 10 @ 20 @ 10 @ Glob (Var "c") @ { |b|c} ; {a| |c} ; { | |c} ; {a|b|c} ; {a|b| } ; { |b| } ; { |b|c} ; {a|b| } ; { |b|c} ; { |b|c} ; {a|b| } ; { |b|c} ; { |b| } ; {a| | } ; {a| | } ; {a|b|c} ; {a| |c} ; { |b|c} ; { | | } ; { |b|c} ; {a| | } ; {a| | } ; {a|b| } ; { |b|c} ; { | | } ; {a|b| } ; {a|b|c} ; { | | } ; { | |c} ; { |b|c} ; {a| |c} ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| | } ; {a| |c} ; {a|b|c} ; {a| | } ; {a| |c} ; { |b|c} ; { | |c} ; { | | } ; { | |c} ; {a|b| } ; {a|b| } ; { | |c} ; {a| | } ; {a| |c} ; { | |c} ; {a| |c} ; {a| | } ; {a|b|c} ; { | | } ; { | | } ; { |b| } ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b|c} ; {a| | } ; {a| |c} ; { |b|c} ; {a| |c} ; {a| |c} ; { |b|c} ; {a|b| } ; { | |c} ; { | |c} ; {a| |c} ; {a|b| } ; { |b|c} ; {a|b| } ; { | |c} ; {a| | } ; {a|b|c} ; { |b| } ; { |b| } ; { | | } ; { |b|c} ; { | | } ; { | |c} ; { | |c} ; {a|b| } ; { | |c} ; { | | } ; {a| |c} ; { |b|c} ; { | |c} ; { |b|c} ; { |b|c} ; { | |c} ; { | |c} ; { | | } ; {a| |c} ; {a| | } ; { | | } ; {a| |c} ; { |b| } ; {a| |c} ; {a| |c} ; {a| | }
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 11 @ 18 @ 11 @ Next (Ev (Var "b")) @ { | |c} ; { | |c} ; {a| |c} ; {a| | } ; {a|b| } ; {a|b|c} ; { |b|c} ; { | |c} ; { |b| } ; {a|b|c} ; { | | } ; {a| | } ; { |b| } ; { |b|c} ; { | | } ; {a| |c} ; {a|b|c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b|c} ; {a| |c} ; {a| | } ; {a| |c} ; { |b| } ; { |b| } ; {a|b| } ; {a|b|c} ; { | | } ; { | |c} ; { | |c} ; { |b|c} ; { |b| } ; { | |c} ; { |b|c} ; { | | } ; { | | } ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; { |b| } ; { |b| } ; { |b|c} ; {a| | } ; { |b|c} ; {a| |c} ; { | | } ; {a|b|c} ; { | | } ; { |b|c} ; {a| |c} ; { |b|c} ; { | | } ; { | | } ; { | |c} ; {a| |c} ; { | |c} ; { | |c} ; {a| | } ; {a| | } ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; {a| | } ; {a|b|c} ; { |b|c} ; { | |c} ; {a| |c} ; {a|b|c} ; { | | } ; { |b|c} ; { |b| } ; { |b| } ; {a| |c} ; { | | } ; {a| |c} ; {a|b|c} ; { |b|c} ; { | | } ; {a| |c} ; {a|b|c} ; {a|b|c} ; { |b| } ; {a| |c} ; { |b| } ; { |b| } ; {a| | } ; {a| |c} ; {a| |c} ; { |b|c} ; { | | } ; { |b|c} ; { |b| } ; { |b|c} ; { | |c} ; {a|b|c} ; {a|b|c} ; { |b|c} ; { | | }
2 @ 5 @ 6 @ 5 @ 12 @ 9 @ 4 @ 1. @ 5.46 @ 1.91 @ 35 @ 104 @ 40 @ Until (Or (Var "b", Var "c"), Var "b") @ { | |c} ; { | |c} ; { | |c} ; { | |c} ; { |b|c} ; {a| |c} ; {a| | } ; { |b| } ; { |b|c} ; {a|b|c} ; { | |c} ; { | |c} ; {a| |c} ; { | |c} ; {a| |c} ; {a| |c} ; {a|b| } ; { |b|c} ; {a|b|c} ; { |b| } ; {a| | } ; { |b|c} ; {a| |c} ; { |b|c} ; { | |c} ; {a| |c} ; {a|b|c} ; { | |c} ; { |b| } ; { |b| } ; {a| | } ; {a| |c} ; {a|b|c} ; {a| | } ; {a| |c} ; { | | } ; {a| | } ; { | | } ; {a|b| } ; { |b|c} ; { |b|c} ; {a|b| } ; {a| | } ; {a| |c} ; {a| |c} ; {a| | } ; { |b|c} ; {a| |c} ; { |b|c} ; {a| | } ; { | | } ; { |b| } ; { | | } ; {a|b| } ; { |b|c} ; {a| | } ; { |b|c} ; {a| | } ; { |b|c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b|c} ; { |b|c} ; {a| |c} ; { |b| } ; { | |c} ; {a| |c} ; { | | } ; { |b|c} ; {a|b|c} ; { |b| } ; {a| |c} ; { |b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; { |b|c} ; {a|b|c} ; {a|b| } ; {a| |c} ; {a| |c} ; {a| |c} ; { | |c} ; { | | } ; {a|b|c} ; {a|b| } ; { | | } ; { | |c} ; { |b|c} ; {a|b| } ; { | | } ; { |b|c} ; { |b|c} ; { |b| } ; { | |c} ; { | | } ; {a|b|c} ; { |b|c} ; { | | } ; {a|b| }
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 10 @ 20 @ 10 @ Glob (Var "a") @ {a|b|c} ; {a| |c} ; {a| |c} ; {a| | } ; { | | } ; { | |c} ; {a|b|c} ; {a|b|c} ; {a| | } ; { |b| } ; {a|b|c} ; { |b|c} ; { |b| } ; { | |c} ; {a| |c} ; {a| | } ; {a|b|c} ; { |b| } ; {a|b|c} ; {a| |c} ; { | |c} ; { | | } ; {a| |c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; {a|b|c} ; { | |c} ; { |b| } ; {a| |c} ; { | | } ; { |b|c} ; {a|b|c} ; {a| |c} ; {a| |c} ; {a| | } ; {a| | } ; { | | } ; {a|b| } ; {a| |c} ; {a|b|c} ; { |b|c} ; { |b| } ; { | |c} ; {a|b| } ; {a|b| } ; {a|b| } ; { |b|c} ; {a|b|c} ; {a|b|c} ; { | | } ; { |b|c} ; { | | } ; { | | } ; { | | } ; { | | } ; { |b| } ; { | |c} ; {a|b|c} ; {a|b|c} ; {a|b| } ; {a| |c} ; { | |c} ; {a| | } ; { |b|c} ; { |b| } ; {a| | } ; {a|b|c} ; {a| |c} ; { |b|c} ; {a|b| } ; {a|b| } ; { | | } ; { |b| } ; { |b| } ; { | | } ; { |b|c} ; {a|b|c} ; { |b| } ; { |b|c} ; { | | } ; {a|b| } ; { |b| } ; {a| |c} ; { |b|c} ; { |b|c} ; {a|b|c} ; {a|b| } ; { |b| } ; {a| |c} ; { |b| } ; {a| |c} ; {a|b| } ; {a|b|c} ; {a| | } ; { | | } ; {a|b| } ; {a|b| } ; {a| | } ; { | | }
2 @ 6 @ 7 @ 7 @ 15 @ 11 @ 6 @ 1. @ 6.66 @ 2.11 @ 30 @ 149 @ 38 @ Ev (Until (Var "b", Var "c")) @ { |b| } ; { |b| } ; {a|b| } ; { |b| } ; { | | } ; { | |c} ; {a|b|c} ; {a|b| } ; { |b|c} ; {a|b|c} ; { |b|c} ; { |b| } ; {a| | } ; {a|b| } ; { | | } ; { |b| } ; {a| |c} ; {a| |c} ; {a|b| } ; { | | } ; { | |c} ; { |b|c} ; {a| |c} ; {a|b| } ; { |b|c} ; {a| | } ; { | | } ; {a| | } ; {a|b| } ; {a|b|c} ; { | |c} ; { | | } ; {a| |c} ; {a|b|c} ; {a| | } ; {a| | } ; { |b| } ; {a|b| } ; { |b|c} ; {a| |c} ; {a|b|c} ; {a| |c} ; {a|b|c} ; {a| | } ; { |b|c} ; { |b| } ; {a|b|c} ; { | | } ; { | | } ; { |b|c} ; { |b| } ; { |b|c} ; {a|b|c} ; { | |c} ; { |b| } ; { | |c} ; { |b| } ; {a|b|c} ; {a|b|c} ; { | | } ; {a| |c} ; { |b| } ; {a|b| } ; {a|b| } ; { |b|c} ; { |b| } ; {a|b| } ; { | |c} ; {a| | } ; {a|b| } ; { | |c} ; { |b| } ; { | | } ; {a| |c} ; { | | } ; {a|b| } ; {a| | } ; {a| | } ; { | | } ; {a| | } ; { | |c} ; { | | } ; { |b|c} ; {a|b|c} ; { |b| } ; { |b|c} ; { | | } ; { |b|c} ; { |b|c} ; { |b|c} ; {a| |c} ; { |b|c} ; { |b|c} ; {a| | } ; {a|b|c} ; { |b|c} ; { |b| } ; {a| |c} ; {a|b|c} ; {a|b|c} ; { |b| }
2 @ 8 @ 9 @ 8 @ 21 @ 2 @ 0 @ 1. @ 0.58 @ 0. @ 24 @ 35 @ 24 @ Ev (Neg (Var "a")) @ {a|b|c} ; {a| | } ; {a|b| } ; {a|b|c} ; {a|b|c} ; {a| | } ; {a| |c} ; { | |c} ; {a|b|c} ; {a| | } ; {a|b| } ; {a|b|c} ; {a|b|c} ; {a| | } ; {a|b| } ; { | | } ; { | |c} ; {a| |c} ; { |b| } ; {a|b|c} ; {a|b| } ; {a| |c} ; { |b| } ; {a|b|c} ; {a| |c} ; {a| | } ; { | |c} ; { | |c} ; {a| |c} ; {a|b|c} ; {a|b|c} ; { | | } ; {a|b| } ; { | | } ; { | |c} ; { |b|c} ; {a|b| } ; {a| |c} ; {a|b| } ; { | | } ; {a| | } ; { |b| } ; { | |c} ; {a|b|c} ; {a| |c} ; { |b|c} ; { |b|c} ; {a| |c} ; { |b|c} ; { | | } ; { | |c} ; { | | } ; {a|b| } ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a| |c} ; { |b| } ; { | |c} ; { |b|c} ; {a| |c} ; {a|b| } ; { |b| } ; { |b|c} ; {a| |c} ; {a| |c} ; { | |c} ; { |b| } ; { | |c} ; { |b|c} ; {a| |c} ; {a|b|c} ; {a| | } ; {a|b| } ; { |b| } ; { | |c} ; {a| |c} ; { |b|c} ; {a|b| } ; {a|b|c} ; { |b|c} ; {a|b|c} ; { |b| } ; { | | } ; { |b|c} ; {a|b|c} ; { | | } ; {a|b| } ; { |b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; {a|b| } ; { | | } ; { | | } ; { |b|c} ; { |b| } ; { | | } ; { |b| } ; { |b| } ; {a| |c}
2 @ 7 @ 9 @ 8 @ 18 @ 15 @ 14 @ 1. @ 8.83 @ 4.38 @ 91 @ 269 @ 109 @ Ev (And (Or (Neg (Var "a"), Var "b"), Or (Neg (Var "b"), Var "a"))) @ { |b| } ; {a| |c} ; {a| |c} ; { |b|c} ; {a| |c} ; {a| |c} ; {a|b| } ; { |b|c} ; { |b| } ; {a|b|c} ; { | | } ; {a|b| } ; {a| |c} ; {a|b| } ; { |b|c} ; { | | } ; {a| | } ; { |b| } ; {a| | } ; { | | } ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a|b| } ; {a| |c} ; {a|b|c} ; { |b|c} ; { | | } ; { | |c} ; {a|b|c} ; {a|b| } ; {a|b|c} ; {a|b| } ; {a|b| } ; { | |c} ; { |b|c} ; { | |c} ; { |b|c} ; { | |c} ; { | |c} ; { | |c} ; { | | } ; { |b| } ; {a| | } ; { |b|c} ; { | |c} ; {a|b| } ; { | | } ; { |b| } ; {a| |c} ; {a|b|c} ; {a|b|c} ; { | | } ; { |b|c} ; { | |c} ; { | | } ; {a|b|c} ; {a|b| } ; {a| | } ; { |b| } ; {a| |c} ; {a|b| } ; {a| | } ; { |b| } ; { | | } ; { | | } ; {a|b| } ; { | | } ; {a| | } ; { | |c} ; { |b| } ; { |b|c} ; {a|b|c} ; { |b|c} ; {a|b| } ; { | | } ; { |b| } ; {a| |c} ; {a|b|c} ; {a|b|c} ; { |b|c} ; {a| |c} ; { | | } ; {a| |c} ; { |b| } ; {a|b|c} ; {a| |c} ; {a|b|c} ; { | |c} ; { | |c} ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a| | } ; { |b| } ; {a| | } ; { |b|c} ; { | |c} ; { |b| } ; {a| |c} ; { | |c}
2 @ 5 @ 6 @ 5 @ 12 @ 2 @ 0 @ 1. @ 0.66 @ 0. @ 10 @ 20 @ 10 @ Glob (Var "b") @ { |b| } ; {a|b| } ; {a|b| } ; {a|b| } ; {a| | } ; {a|b| } ; {a|b| } ; { |b|c} ; { |b|c} ; {a| | } ; { |b|c} ; { | |c} ; { |b|c} ; {a| |c} ; { | | } ; { | |c} ; { |b| } ; {a| | } ; { | | } ; {a| |c} ; { | |c} ; { | | } ; {a|b| } ; {a|b| } ; {a|b|c} ; { |b| } ; {a|b|c} ; { | |c} ; { |b|c} ; {a|b|c} ; { |b| } ; {a| | } ; {a|b|c} ; {a| | } ; { | |c} ; {a| | } ; {a|b| } ; { | |c} ; { | | } ; { |b|c} ; {a|b|c} ; { | |c} ; { |b| } ; {a|b|c} ; { | |c} ; {a|b| } ; { | |c} ; {a|b|c} ; { | |c} ; { |b| } ; {a|b| } ; {a| |c} ; {a| |c} ; { | | } ; { |b|c} ; {a| |c} ; {a|b|c} ; { |b| } ; { |b|c} ; {a|b|c} ; {a|b|c} ; {a| |c} ; {a| | } ; { |b|c} ; { |b| } ; {a| | } ; {a|b| } ; {a|b|c} ; {a|b| } ; {a|b| } ; { | | } ; {a|b| } ; { |b| } ; {a|b|c} ; { | | } ; { |b|c} ; {a|b|c} ; {a|b|c} ; { | |c} ; {a|b| } ; { | |c} ; { | | } ; { | | } ; { |b|c} ; {a|b| } ; { |b|c} ; {a|b| } ; {a| |c} ; { | | } ; { |b|c} ; { | |c} ; { | | } ; {a|b|c} ; { |b|c} ; {a|b|c} ; {a| |c} ; { |b| } ; { | |c} ; {a| |c} ; { |b| } ; { |b|c}
